item_id,title,object_type,space,price,area_price,address,metro,time_to_metro,published_raw,published_date,source_page_number,collected_at,url
7968127457,"1-к. квартира, 25 м², 1/12 эт.",,,5 432 092 ₽,,,,,,,1,2026-05-05T17:16:18,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_25_m_112_et._7968127457?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJyd2N4YWcyRzhPWTVkZU5PIjt9_3hiIT8AAAA
8133157961,"1-к. квартира, 30,8 м², 2/5 эт.",,,6 350 000 ₽,,,,,,,2,2026-05-05T17:18:42,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_308_m_25_et._8133157961?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJmWmNKVUNHVEhiVFRRS2QxIjt9_gmwIz8AAAA
8027314268,"1-к. квартира, 30,9 м², 3/12 эт.",,,6 500 000 ₽,,,,,,,2,2026-05-05T17:18:42,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_309_m_312_et._8027314268?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJmWmNKVUNHVEhiVFRRS2QxIjt9_gmwIz8AAAA
8053877286,"1-к. квартира, 31,3 м², 12/12 эт.",,,6 399 000 ₽,,,,,,,2,2026-05-05T17:18:42,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_313_m_1212_et._8053877286?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJmWmNKVUNHVEhiVFRRS2QxIjt9_gmwIz8AAAA
7662362617,"1-к. квартира, 31,9 м², 2/22 эт.",,,6 640 623 ₽,,,,,,,1,2026-05-05T17:16:18,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_319_m_222_et._7662362617?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJyd2N4YWcyRzhPWTVkZU5PIjt9_3hiIT8AAAA
8020963173,"1-к. квартира, 32,2 м², 7/9 эт.",,,7 800 000 ₽,,,,,,,2,2026-05-05T17:18:42,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_322_m_79_et._8020963173?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJmWmNKVUNHVEhiVFRRS2QxIjt9_gmwIz8AAAA
7470252046,"1-к. квартира, 32,5 м², 20/21 эт.",,,7 531 875 ₽,,,,,,,2,2026-05-05T17:18:42,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_325_m_2021_et._7470252046?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJmWmNKVUNHVEhiVFRRS2QxIjt9_gmwIz8AAAA
7470875212,"1-к. квартира, 32,8 м², 6/22 эт.",,,6 166 728 ₽,,,,,,,1,2026-05-05T17:16:18,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_328_m_622_et._7470875212?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJyd2N4YWcyRzhPWTVkZU5PIjt9_3hiIT8AAAA
8133500834,"1-к. квартира, 32 м², 7/26 эт.",,,5 600 000 ₽,,,,,,,2,2026-05-05T17:18:42,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_32_m_726_et._8133500834?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJmWmNKVUNHVEhiVFRRS2QxIjt9_gmwIz8AAAA
8017907489,"1-к. квартира, 33,1 м², 2/9 эт.",,,6 800 000 ₽,,,,,,,2,2026-05-05T17:18:42,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_331_m_29_et._8017907489?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJmWmNKVUNHVEhiVFRRS2QxIjt9_gmwIz8AAAA
